,Year,Annual Average Temperature Anomaly (celsius)
210,1960,-0.09624999999999996
211,1961,0.121
212,1962,0.05916666666666665
213,1963,0.18066666666666664
214,1964,-0.27891666666666665
215,1965,-0.14475
216,1966,-0.05975
217,1967,0.03833333333333332
218,1968,-0.15741666666666668
219,1969,-0.06541666666666668
220,1970,0.050916666666666666
221,1971,-0.04800000000000001
222,1972,-0.15616666666666665
223,1973,0.3225833333333334
224,1974,-0.169
225,1975,0.11925000000000001
226,1976,-0.268
227,1977,0.2549166666666667
228,1978,0.08524999999999999
229,1979,0.1035
230,1980,0.3726666666666667
231,1981,0.5463333333333333
232,1982,0.042666666666666665
233,1983,0.42424999999999996
234,1984,0.07833333333333335
235,1985,0.05716666666666667
236,1986,0.24716666666666665
237,1987,0.40625
238,1988,0.6095833333333334
239,1989,0.33875000000000005
240,1990,0.6461666666666667
241,1991,0.5960833333333334
242,1992,0.23274999999999998
243,1993,0.28024999999999994
244,1994,0.45058333333333334
245,1995,0.7565000000000001
246,1996,0.44524999999999987
247,1997,0.5896666666666666
248,1998,0.9297500000000002
249,1999,0.6799166666666667
250,2000,0.5954999999999999
251,2001,0.8035000000000001
252,2002,0.97225
253,2003,0.9200833333333333
254,2004,0.7273333333333333
255,2005,1.1083333333333336
256,2006,0.9373333333333335
257,2007,1.1329999999999998
258,2008,0.8381666666666668
259,2009,0.9291666666666667
260,2010,1.100916666666667
261,2011,0.9249166666666667
262,2012,0.8842500000000001
263,2013,0.9984166666666666
264,2014,0.9706666666666667
265,2015,1.2328333333333332
266,2016,1.4374166666666668
267,2017,1.3114166666666667
