Year of Completion,Name of Dam,Country
1965,Andi,China
1965,Huangcai,China
1965,Tanhu,China
1965,Houqiao,China
1965,Liheng,China
1965,Jiuwantan,China
1965,Dakai,China
1965,Shitoukoumen,China
1965,Selihu,China
1965,Yingshou,China
1965,Haksong,North Korea
1965,Choonchon,South Korea
1965,Somjingang,South Korea
1965,Osakaike,Japan
1965,Sugano,Japan
1965,Omogo,Japan
1965,Rikimaru,Japan
1965,Tsuruda,Japan
1965,Sonohara,Japan
1965,Saigawa,Japan
1965,Hinogawa,Japan
1965,Souri,Japan
1965,Nanairo,Japan
1965,Khancoban,Australia
1965,Buffalo,Australia
1965,Devilbend,Australia
1965,West Barwon,Australia
1965,Dee,Australia
1965,Perseverance Creek,Australia
1965,Upper Mangatawhiri,New Zealand
1965,Matahina,New Zealand
1965,Benmore,New Zealand
1966,Diana Lake,Canada
1966,Grizzly Valley,United States
1966,Lower Hell Hole,United States
1966,Exchequer Main,United States
1966,McSwain,United States
1966,O'Neill Forebay Dike,United States
1966,Mann Creek,United States
1966,Willow Creek,United States
1966,Rifle Gap,United States
1966,West Two Rivers,United States
1966,Oahe Dam,United States
1966,Thomas Hill Reservoir Dam,United States
1966,Arbuckle Dike 1,United States
1966,Fish Creek Dam,United States
1966,Lake Arrowhead Dam,United States
1966,Millwood Dam,United States
1966,Lake Claiborne,United States
1966,Joe B. Hogsett Dam,United States
1966,Coleman Dam,United States
1966,Houston County Lake Dam,United States
1966,Toledo Bend,United States
1966,Ignacio Ramirez,Mexico
1966,Michael J. Kirwan Dam,United States
1966,Salamonie Lake Dam,United States
1966,Lake Lou Yaeger Dam,United States
1966,South Rivanna Dam,United States
1966,Barkley Dam,United States
1966,Lake Catoma Dam,United States
1966,H. Neely Henry,United States
1966,Structure 60,United States
1966,Structure 63,United States
1966,West Polk K-1,United States
1966,Cachi,Costa Rica
1966,Antacoto,Peru
1966,Lake Tappan Dam,United States
1966,El Cadillal,Argentina
1966,Bay d'Espoir,Canada
1966,Cachoeira Dourada,Brazil
1966,Graminha,Brazil
1966,Arrojado Lisboa,Brazil
1966,Ceraima,Brazil
1966,Derwent,United Kingdom
1966,Fervenza,Spain
1966,Velle,Spain
1966,Torrejon Tajo,Spain
1966,Gha,Burkina Faso
1966,Bogande,Burkina Faso
1966,Bilanga,Burkina Faso
1966,Bilanga-Yanga,Burkina Faso
1966,Guma,Sierra Leone
1966,Mount Coffee,Liberia
1966,Hackren,Sweden
1966,Tunhovd Fyllingsdam,Norway
1966,Sonstevatn Fyllingsdam,Norway
1966,Votna 1,Norway
1966,Byrte,Norway
1966,Kulivatn,Norway
1966,Innerste,Germany
1966,Durlassboden,Austria
1966,Curnera,Switzerland
1966,Saint Cassien,France
1966,Occhito,Italy
1966,Mequinenza,Spain
1966,Tahouna,Tunisia
1966,Lakhmess,Tunisia
1966,Vietas,Sweden
1966,Velka Domasa,Slovakia
1966,Bajina Basta,Serbia
1966,Batlava,Serbia
1966,Hristo Smirnenski,Bulgaria
1966,Domlian,Bulgaria
1966,Malko Sharkovo,Bulgaria
1966,Trakietz,Bulgaria
1966,Tuli Makwe,Zimbabwe
1966,Middelkraal,South Africa
1966,Craigie Var,South Africa
1966,Solomons Temple,South Africa
1966,Almus,Turkey
1966,Kesikkopru,Turkey
1966,Roseires,Sudan
1966,Nyumba ya Mungu,Tanzania
1966,Odzani,Zimbabwe
1966,Sand River,Swaziland
1966,Kattasay,Tajikistan
1966,Chandra Prabha,India
1966,Naugarh,India
1966,Wunna,India
1966,Phophali,India
1966,Porthimund,India
1966,Malampuzha,India
1966,Mangalam,India
1966,Ubol Ratana,Thailand
1966,Kaengkrachan,Thailand
1966,Xueye,China
1966,Wushan,China
1966,Huayanghe,China
1966,Huashan,China
1966,Sandaohe,China
1966,Yuntaishan,China
1966,Guanyinyan,China
1966,Zhanghe,China
1966,Huiting,China
1966,Guanzhuang,China
1966,Fushui,China
1966,Honghu,China
1966,Fengdu,China
1966,Baihua,China
1966,Guishi,China
1966,Sankeng,China
1966,Chengbihe,China
1966,Waroona,Australia
1966,Jianshanzi,China
1966,Kuroki,Japan
1966,Heisodaiichi,Japan
1966,Fuchu,Japan
1966,Ouchi,Japan
1966,Kagami,Japan
1966,Hengshan,China
1966,Haboro,Japan
1966,Higashikenbuchi,Japan
1966,Etaibetsu,Japan
1966,Shizunai,Japan
1966,Haginari,Japan
1966,Kawamata,Japan
1966,Mizunuma,Japan
1966,Tori,Japan
1966,Isaka,Japan
1966,Hattachiike,Japan
1966,Misetani,Japan
1966,Futagawa,Japan
1966,Geehi,Australia
1966,Bellfield,Australia
1966,Clark,Australia
1966,Meadowbank,Australia
1966,Hinemaiaia B,New Zealand
1966,La Rance,France
1966,El Pane,Peru
1966,Carlyle Lake Dam,United States
1966,Elk City Lake,United States
1967,W.A.C. Bennett,Canada
1967,Green Peter,United States
1967,Foster,United States
1967,Thermalito Forebay,United States
1967,Thermalito Afterbay,United States
1967,B.F. Sisk,United States
1967,North Blackstrap Lake,Canada
1967,Duncan,Canada
1967,Boundary,United States
1967,Lower Two Medicine,United States
1967,Swift Dike,United States
1967,Mason,United States
1967,Lake Viva Naughton Dam,United States
1967,Button Rock,United States
1967,Pelican Lake,United States
1967,Homestake Dam,United States
1967,Ruedi,United States
1967,Sugar Loaf,United States
1967,Morrow Point,United States
1967,Presa Josefa Ortiz de Dominguez,Mexico
1967,Nelson Lake Dam,United States
1967,Lake Redstone,United States
1967,Branched Oak Dam,United States
1967,Lake Viking Dam,United States
1967,Milford Dam,United States
1967,Lake Poinsett Dam,United States
1967,Broken Bow Lake,United States
1967,Pat Mayse Lake,United States
1967,Mud Creek Dam,United States
1967,Somerville Dam,United States
1967,Decker Creek Dam,United States
1967,Mountain Chute Main,Canada
1967,Mississinewa Lake Dam,United States
1967,Eagle Creek Reservoir Dam,United States
1967,Muddy Run Main Dam,United States
1967,Lake Marburg,United States
1967,Sangchris Lake Dam,United States
1967,Grandview Lake Dam,United States
1967,J. Percy Priest Dam,United States
1967,Nickajack,United States
1967,Walter Bouldin,United States
1967,Payne Creek Settling Area 2,United States
1967,Lake Manatee Dam,United States
1967,Vanceboro,United States
1967,Clavellinos,Venezuela
1967,La Estancia,Venezuela
1967,Rio Hondo,Argentina
1967,Paloma,Chile
1967,Yeso,Chile
1967,Fort Randall,Canada
1967,Pau dos Ferros,Brazil
1967,Cocorobo,Brazil
1967,Clywedog,United Kingdom
1967,Arbon,Spain
1967,Portodemouros,Spain
1967,Matalavilla,Spain
1967,La Pinilla,Spain
1967,Pedrezuela,Spain
1967,Torrejon Tietar,Spain
1967,Castrejon,Spain
1967,Loriguilla,Spain
1967,Caia,Portugal
1967,La Bolera,Spain
1967,Mohammed 5,Morocco
1967,Gouinre,Burkina Faso
1967,Kalvatn,Norway
1967,Langavatn Dam 1,Norway
1967,Vasstolvatn,Norway
1967,Sandvatn Dam 1,Norway
1967,Ohra,Germany
1967,Mattmark,Switzerland
1967,La Gittaz,France
1967,Greoux,France
1967,Faw Faw,Nigeria
1967,Lokka,Finland
1967,Seitevare,Sweden
1967,Letsi,Sweden
1967,Ajaure,Sweden
1967,Tresna,Poland
1967,Sklope,Croatia
1967,Kula,Bulgaria
1967,Eleshnitza,Bulgaria
1967,Grancarevo,Bosnia and Herzegovina
1967,Ovtcharitza,Bulgaria
1967,Ulza,Albania
1967,Ngondoma,Zimbabwe
1967,Mananda,Zimbabwe
1967,Mabgwe Matemba,Zimbabwe
1967,Silalabuhwa,Zimbabwe
1967,Thornville,Zimbabwe
1967,Waterdown,South Africa
1967,Kurtbogazi,Turkey
1967,Altinapa,Turkey
1967,Manjirenji,Zimbabwe
1967,Saratov,Russia
1967,Latian,Iran
1967,Karkidansk,Uzbekistan
1967,Yuzhnosurkhansk,Uzbekistan
1967,Tanda,Pakistan
1967,Mangla,Pakistan
1967,Rasul,Pakistan
1967,Musa Khand,India
1967,Kharkhara Tank,India
1967,Budhabudiani,India
1967,Nallavagu,India
1967,Thirumoorthy,India
1967,Parambikulam,India
1967,Manjalar,India
1967,Lamphraphloeng,Thailand
1967,Vilyui,Russia
1967,Shiti,China
1967,Dahongshan,China
1967,Xiaonanhe,China
1967,Yangshuhe,China
1967,Taohuajiang,China
1967,Jatiluhur,Indonesia
1967,Erlongshan,China
1967,Changsuwon,North Korea
1967,Uiam,South Korea
1967,Fube,Japan
1967,Sugesawa,Japan
1967,Iwase,Japan
1967,Kanayama,Japan
1967,Horobetsu,Japan
1967,Shinkodoroku,Japan
1967,Hanekawa,Japan
1967,Takasaka,Japan
1967,Yagisawa,Japan
1967,Nishiarakawa,Japan
1967,Dainichigawa,Japan
1967,Amahata,Japan
1967,Burrendong Dam,Australia
1967,Jindabyne,Australia
1967,Nillahcootie,Australia
1967,Brielse Gat,Netherlands
1968,Upper Silvis,United States
1968,Fulton River,Canada
1968,Mossyrock,United States
1968,Blue River Dam,United States
1968,Oroville,United States
1968,Del Valle,United States
1968,Gardiner,Canada
1968,Hugh Keenleyside,Canada
1968,Luis L. Leon,Mexico
1968,Upper Rice Lake,United States
1968,Glen Elder,United States
1968,Marion Lake,United States
1968,Forebay,United States
1968,Chimney Rock,United States
1968,Salt-Camp Creek Site 12,United States
1968,Greenbelt Dam,United States
1968,Konawa Lake,United States
1968,Tradinghouse Creek Dam,United States
1968,Stillhouse-Hollow Dam,United States
1968,G. Franci,Mexico
1968,Ignacio Allende,Mexico
1968,Guadalupe,Mexico
1968,Vicente Guerrero,Mexico
1968,Jose M. Morelos,Mexico
1968,,United States
1968,Moraine State Park,United States
1968,J. Edward Roush Lake Dam,United States
1968,Two Lick Creek,United States
1968,Salt Fork Lake Dam,United States
1968,Deer Creek Dam,United States
1968,T. Nelson Elliott Dam,United States
1968,Lake of the Woods Dam,United States
1968,Grayson Dam,United States
1968,Baldwin Plant Cooling Lake Dam,United States
1968,Brasfield Dam,United States
1968,Okatibbee Dam,United States
1968,Rodman Dam and Spillway,United States
1968,Clear Springs N-12,United States
1968,Tinajones,Peru
1968,Daniel Johnson,Canada
1968,Outardes 3,Canada
1968,Mactaquac,Canada
1968,Shohola Marsh,United States
1968,Camatagua,Venezuela
1968,Rapel,Chile
1968,Jupia,Brazil
1968,Juan Benet,Spain
1968,Navacerrada,Spain
1968,Roxo,Portugal
1968,Santa Clara,Portugal
1968,Piedras,Spain
1968,Djorf Torba,Algeria
1968,Akersvatn,Norway
1968,Abelvattnet,Sweden
1968,Arsdalsvatn,Norway
1968,Muravatn Hoveddam,Norway
1968,Dyrskardvatn Dam,Norway
1968,Botnedalsvatn Hoveddam,Norway
1968,Nilsebuvatn,Norway
1968,Roskreppfjord Hoveddam,Norway
1968,Nesjen Hoveddam,Norway
1968,Kelbra,Germany
1968,Zeulenroda,Germany
1968,Nechranice,Czech Republic
1968,Val Joly,France
1968,Zlutice,Czech Republic
1968,Punt dal Gall,Switzerland
1968,Santa Maria,Switzerland
1968,Feistritz-Ludmannsdorf,Austria
1968,Cavagnoli,Switzerland
1968,Vouglans,France
1968,Les Fades,France
1968,Le Mont Cenis,France
1968,Boadella,Spain
1968,Calacuccia,France
1968,Susqueda,Spain
1968,Poma,Italy
1968,Kainji,Nigeria
1968,Solina,Poland
1968,Ruzin 1,Slovakia
1968,Markazi,Hungary
1968,Tikves,Macedonia
1968,Altinyazi,Turkey
1968,Pinios Ilias,Greece
1968,Malonga,Angola
1968,Rixon,Zimbabwe
1968,Ingwesi,Zimbabwe
1968,Pioneer,Zimbabwe
1968,Roodepoort,South Africa
1968,Lubisi,South Africa
1968,Yermasoyia,Cyprus
1968,Kindaruma,Kenya
1968,Range,Zimbabwe
1968,Kassansay,Kyrgyzstan
1968,Kattakurgan,Uzbekistan
1968,Pachkamar,Uzbekistan
1968,Naghlu,Afghanistan
1968,Marala,Pakistan
1968,Baigul,India
1968,Rana Pratap Sagar,India
1968,Nalkari,India
1968,Yeldari,India
1968,Siddheshwar,India
1968,Lankasagar,India
1968,Liujiaxia,China
1968,Seletar,Singapore
1968,Haizi,China
1968,Huangbizhuang,China
1968,Qingtongxia,China
1968,Wohushan,China
1968,Tianzhuang,China
1968,Hongshuihe,China
1968,Baihe,China
1968,Fuchunjiang,China
1968,Huangshi,China
1968,,Japan
1968,Mukunashi,Japan
1968,Tondadaiichi,Japan
1968,Hiju,Japan
1968,Bessho,Japan
1968,Takakuma,Japan
1968,Angat,Philippines
1968,Tenma,Japan
1968,Shijushida,Japan
1968,Kawarago,Japan
1968,Otsumata,Japan
1968,Sugadaira,Japan
1968,Oshio,Japan
1968,Shimokubo,Japan
1968,Takanedaini,Japan
1968,Washi,Japan
1968,Kuzuryu,Japan
1968,Kiso,Japan
1968,Komanba,Japan
1968,Takayama,Japan
1968,Blowering,Australia
1968,Corin,Australia
1968,Jounama,Australia
1968,,Australia
1968,Parangana,Australia
1968,Repulse,Australia
1968,Coolmunda,Australia
1968,Malpas,Australia
1968,Aviemore,New Zealand
1968,Qadirabad,Pakistan
1969,Sooke Lake,Canada
1969,Lopez,United States
1969,Wild Horse Dam,United States
1969,Shellmouth,Canada
1969,Otter Lake,United States
1969,Lake Panorama Dam,United States
1969,Red Rock Dam,United States
1969,Perry Dam,United States
1969,Stockton Dam,United States
1969,Dardanelle Lock and Dam,United States
1969,Degray Dam,United States
1969,Pine Creek Lake,United States
1969,Lake Bonham Dam,United States
1969,Rockwall Forney Dam,United States
1969,De Cordova Bend Dam,United States
1969,Robert Lee Dam,United States
1969,Fairfield Dam,United States
1969,Livingston Dam,United States
1969,Lewis Creek Dam,United States
1969,International Amistad Dam,Mexico
1969,Calaveras Creek Dam,United States
1969,Francisco Zarco,Mexico
1969,Const. de 1917,Mexico
1969,Yosocuta,Mexico
1969,Lake Wilhelm Dam,United States
1969,Foster Joseph Sayers Dam,United States
1969,Beltzville Dam,United States
1969,Yellow Creek,United States
1969,Otter Lake Dam,United States
1969,Greenville New City Dam,United States
1969,Lake Monticello Dam,United States
1969,Fishtrap Dam,United States
1969,Green River Lake Dam,United States
1969,Wood Creek Lake Dam,United States
1969,Townsend Lake Dam,United States
1969,Structure 62,United States
1969,Taylor Creek Structure,United States
1969,Structure 58,United States
1969,South Ridgewood,United States
1969,Area C,United States
1969,Arroyo Grande,Colombia
1969,Outardes 4,Canada
1969,Colebrook River Dam,United States
1969,Santa Maria,Brazil
1969,Estreito,Brazil
1969,Ibitinga,Brazil
1969,Boa Esperanca,Brazil
1969,Funil,Brazil
1969,Backwater,United Kingdom
1969,Draycote,United Kingdom
1969,Vilasouto,Spain
1969,Castrelo,Spain
1969,Cernadilla,Spain
1969,Azutan,Spain
1969,Alcantara 2,Spain
1969,Forata,Spain
1969,Guadalmena,Spain
1969,Aracena,Spain
1969,Iznajar,Spain
1969,Ajras,Morocco
1969,Moulay Youssef,Morocco
1969,Banieya,Guinea
1969,Gressvatn,Norway
1969,Blasjon,Sweden
1969,Jormsjon,Sweden
1969,Ytre Bangsjo Hoveddam,Norway
1969,Follsjo,Norway
1969,Grasjo,Norway
1969,Zakariasvatn,Norway
1969,Manndola Fyllingsdam,Norway
1969,Grane,Germany
1969,Nyrsko,Czech Republic
1969,Gmunden,Austria
1969,Hongrin Nord,Switzerland
1969,El Grado 1,Spain
1969,Ribarroja,Spain
1969,Kasseb,Tunisia
1969,Asejire,Nigeria
1969,Dabbsjo,Sweden
1969,Lovons,Sweden
1969,Rama,Bosnia and Herzegovina
1969,Telish,Bulgaria
1969,Aheloy,Bulgaria
1969,Kalimanci,Macedonia
1969,Dosspat,Bulgaria
1969,Spilje,Macedonia
1969,Kastraki,Greece
1969,Colui,Angola
1969,Makashi,Zimbabwe
1969,Bospoort,South Africa
1969,Elandskuil,South Africa
1969,Saulspoort,South Africa
1969,Sebaboleng,Lesotho
1969,Sandrivier,South Africa
1969,Montagu,South Africa
1969,Grootvlei,South Africa
1969,Surgu,Turkey
1969,Eben,Zimbabwe
1969,Donkerval,South Africa
1969,Girna,India
1969,Maojiacun,China
1969,Lam Pao,Thailand
1969,Lamtakhong,Thailand
1969,Pedu,Malaysia
1969,Gangnan,China
1969,Shitouhe,China
1969,Songjiachang,China
1969,Shishankou,China
1969,Meidian,China
1969,Tiantang,China
1969,Shuangxi,China
1969,Gaofang,China
1969,Hongmen,China
1969,Youluokou,China
1969,Tanling,China
1969,Fenghuang,China
1969,Banling,China
1969,Tanghe,China
1969,Oi,Japan
1969,Hisashi,Japan
1969,Konoura,Japan
1969,Azuma,Japan
1969,Shimonikappu,Japan
1969,Inekoki,Japan
1969,Nagawado,Japan
1969,Takanedaiichi,Japan
1969,Misakubo,Japan
1969,Horigo,Japan
1969,Waggaboonyah,Australia
1969,Eungella,Australia
1969,Kangaroo Creek,Australia
1969,Devils Gate,Australia
1969,Sideling Creek,Australia
1969,Pindari,Australia
1969,Chichester,Australia
1969,Grahamstown,Australia
1969,Whau Valley,New Zealand
1969,Lauwerszee,Netherlands
1970,Skookumchuck,United States
1970,Box Canyon,United States
1970,Stampede,United States
1970,New Bullards Bar,United States
1970,Clifton Court,United States
1970,Meeks Cabin,United States
1970,Terry Lake,United States
1970,North Bottle Hollow,United States
1970,Bor Starvation,United States
1970,Silver Jack,United States
1970,Gunlock,United States
1970,Heron,United States
1970,Punta de Agua,Mexico
1970,Kettle Rapids Main Dam,Canada
1970,Portage Diversion,Canada
1970,Bowman-Haley,United States
1970,Rampart,United States
1970,Timber Creek Dam 29,United States
1970,Newt Graham Lock and Dam,United States
1970,Robert S. Kerr Lock and Dam,United States
1970,Wells,Canada
1970,Upper and Lower Lakes Dam 1,United States
1970,Bresler Upground Reservoir,United States
1970,Powerton Cooling Lake Dam,United States
1970,Lake Shelbyville Dam,United States
1970,Quick Creek Reservoir,United States
1970,Golf Course,United States
1970,Victoria Dike A,Canada
1970,Burnt Dam,Canada
1970,Granite,Canada
1970,Juqueri,Brazil
1970,Ponte Nova,Brazil
1970,Capivari,Brazil
1970,Taipu,Brazil
1970,Saco 2,Brazil
1970,Pedra,Brazil
1970,Cow Green,United Kingdom
1970,Frieira,Spain
1970,Almendra,Spain
1970,El Pardo,Spain
1970,Argos,Spain
1970,Retortillo,Spain
1970,Djibo,Burkina Faso
1970,Nesjo Hoveddam,Norway
1970,Kvilesteinsvatn Hoveddam,Norway
1970,Bitdalsvatn,Norway
1970,Rudsvaten,Norway
1970,Flatholmyra Dam,Norway
1970,Deg Hoveddam,Norway
1970,Covenham,United Kingdom
1970,Horka,Czech Republic
1970,Naret 1,Switzerland
1970,Alesani,France
1970,Ponte Liscione,Italy
1970,Fergoug,Algeria
1970,Eagauda,Nigeria
1970,Porttipahta,Finland
1970,Parki,Sweden
1970,Uljua Dams,Finland
1970,Hallby,Sweden
1970,Kuurna,Finland
1970,Wloclawek,Poland
1970,Rozkos,Czech Republic
1970,Jrebchevo,Bulgaria
1970,Turija,Macedonia
1970,Pampoenpoort,Zimbabwe
1970,Klipvoor,South Africa
1970,Serebrianka 1,Russia
1970,Golkoy,Turkey
1970,Raza Dike,Iraq
1970,High Aswan Dam,Egypt
1970,Abarda,Eritrea
1970,Mwenje Lake Noakes,Zimbabwe
1970,Magoebaskloof,South Africa
1970,Nyetane,Swaziland
1970,Aras,Iran
1970,Lovain,Azerbaijan
1970,Voshmgir,Iran
1970,Mahabad,Iran
1970,Zayandeh Rood,Iran
1970,Ust-Khantaika,Russia
1970,Kapchagay,Kazakhstan
1970,Pujaritola,India
1970,Terna,India
1970,Yanguoxia,China
1970,Wenyuhe,China
1970,Yuecheng,China
1970,Yanma,China
1970,Jiangang,China
1970,Shimenji,China
1970,Wuyue,China
1970,Wenxiakou,China
1970,Zhengjiahe,China
1970,Longhekou,China
1970,Laoshikan,China
1970,Huayuan,China
1970,Beihe,China
1970,Weishui,China
1970,Fangtuan,China
1970,Changgang,China
1970,Ouyanghai,China
1970,Zhanggang,China
1970,Centianhe,China
1970,Songtao,China
1970,Selorejo,Indonesia
1970,Xiaogujia,China
1970,Kangryong,North Korea
1970,Namgang,South Korea
1970,Jinnaiike,Japan
1970,Tamagawa,Japan
1970,Yanase,Japan
1970,Midorikawa,Japan
1970,Mingteh,Taiwan
1970,Iwaonai,Japan
1970,Nisshin,Japan
1970,Subari,Japan
1970,Kamafusa,Japan
1970,Yoshigadaira,Japan
1970,Midono,Japan
1970,Okuyama,Japan
1970,Yahagi,Japan
1970,Kisenyama,Japan
1970,Midoro,Japan
1970,Shorenji,Japan
1970,Carcoar Dam,Australia
1970,Haringvliet Dam,Netherlands
1970,Tims Ford,United States
1971,Don Pedro,United States
1971,Millsite,United States
1971,Round Lake Dam,United States
1971,Spoon Lake Dam,United States
1971,Harrisonville City Lake Dam,United States
1971,La Cygne Lake Dam,United States
1971,Stillwater Creek Site 40,United States
1971,Ozark Water Supply Lake Dam,United States
1971,Lake Hinkle Dam,United States
1971,Franklin County Dam,United States
1971,Blackburn Crossing Dam,United States
1971,Vincente Guerrero,Mexico
1971,Lower Notch Generating Station,Canada
1971,White Pine Mine North Tailings Dam 2,United States
1971,,United States
1971,Dresden Cooling Lake Dam,United States
1971,Findlay Upground Reservoir 2,United States
1971,Evergreen Lake Dam,United States
1971,Apple Valley Lake Dam,United States
1971,West Boggs Creek Structure 1,United States
1971,East Lynn Dam,United States
1971,Rend Lake Dam,United States
1971,Oak Hollow Lake Dam,United States
1971,Keowee,United States
1971,Lake Tuscaloosa Dam,United States
1971,Sanford Cooling Reservoir,United States
1971,West Polk A-10,United States
1971,Arroyo Matuya,Colombia
1971,La Esperanza,Ecuador
1971,Poza Honda,Ecuador
1971,Churchill Falls,Canada
1971,West Forebay Dike GJ-18,Canada
1971,Clifford,United States
1971,Diamond Hill Reservoir Dam,United States
1971,Tule,Venezuela
1971,Cumaripa,Venezuela
1971,Prado,Colombia
1971,Jaguara,Brazil
1971,Chavantes,Brazil
1971,Jaguari,Brazil
1971,Joanes 2,Brazil
1971,Eugui,Spain
1971,Bubal,Spain
1971,Albarellos,Spain
1971,Salas,Spain
1971,Guajaraz,Spain
1971,Guadiloba,Spain
1971,La Concepcion,Spain
1971,Hassan Addakhil,Morocco
1971,Viddalsvatn Fyllingsdam,Norway
1971,Sandvatn Dam,Norway
1971,Gravatn Dam,Norway
1971,Stolsvatn,Norway
1971,Gilepppe,Belgium
1971,Schlegeis,Austria
1971,Coiselet,France
1971,Salagou,France
1971,Rubino,Italy
1971,Villarosa,Italy
1971,Bir M'cherga,Tunisia
1971,Karaye,Nigeria
1971,M'Bakaou,Cameroon
1971,Olushandja,Namibia
1971,Guolasjavrre,Norway
1971,Melo,Finland
1971,Nysa,Poland
1971,Sance,Czech Republic
1971,Paltinu,Romania
1971,Pitesti,Romania
1971,Poletkovtzi,Bulgaria
1971,Caygoren,Turkey
1971,Kafue Gorge,Zambia
1971,Suri Suri,Zimbabwe
1971,Umhlangwa,Zimbabwe
1971,Antelope,Zimbabwe
1971,S. Von Bach,Namibia
1971,Friedenau,Namibia
1971,Naute,Namibia
1971,Waterfall,South Africa
1971,Eselfontein,South Africa
1971,Nuweberg,South Africa
1971,Kesiksuyu,Turkey
1971,Kartalkaya,Turkey
1971,Alakir,Turkey
1971,Nacala,Mozambique
1971,Chimwemwe,Zimbabwe
1971,Mwarazi,Zimbabwe
1971,Lorna Dawn,South Africa
1971,Van Eck,Swaziland
1971,Zarineh Rood,Iran
1971,Chashma,Pakistan
1971,Kinnersani,India
1971,Pothundy,India
1971,Peruvaripallam,India
1971,Sholayar,India
1971,Changshaba,China
1971,Mobye,Myanmar (Burma)
1971,Tanjiahe,China
1971,Wangtun,China
1971,Zhuxihe,China
1971,Heidongwan,China
1971,Pohe,China
1971,Yinghe,China
1971,Tanshugang,China
1971,Hongqiyan,China
1971,Baoshi,China
1971,Chencun,China
1971,Qingshanlong,China
1971,Dongluo,China
1971,Luodong,China
1971,Hengjiang,China
1971,Thac Ba,Vietnam
1971,Sirindhorn,Thailand
1971,Huashouchuan,China
1971,Hongshan,China
1971,Yunfeng,China
1971,Wujintang,China
1971,Shimen,China
1971,Sanmyong,South Korea
1971,Angye,South Korea
1971,Kuboshiro,Japan
1971,Aburagi,Japan
1971,Aki,Japan
1971,Ord River,Australia
1971,Ariake,Japan
1971,Horoshin,Japan
1971,Nokanan,Japan
1971,Mizukubo,Japan
1971,Yahagidaini,Japan
1971,Tsubaichi,Japan
1971,Kimigano,Japan
1971,Sirinumu,Papua New Guinea
1971,Wyangala,Australia
1971,Talbingo,Australia
1971,Mokoan,Australia
1971,William Hovell,Australia
1971,Greenvale,Australia
1971,Paloona,Australia
1971,Cethana,Australia
1971,Serpentine,Australia
1971,Toonumbar,Australia
1971,Lostock,Australia
1971,Lower Huia,New Zealand
1971,Otamangakau,New Zealand
1971,Vanttauskoski,Finland
1971,Vallabregues,France
1972,Martis Creek Dam,United States
1972,Big Horn,Canada
1972,Mica,Canada
1972,Lake Helena,United States
1972,Lower Sunshine,United States
1972,Soldier Creek,United States
1972,Westlake Reservoir,United States
1972,Eustaquio,Mexico
1972,Rathbun Dam,United States
1972,Melvern Dam,United States
1972,Sooner,United States
1972,Crown Lake Dam,United States
1972,Okfuskee Tributary Site S-1,United States
1972,Kincaid Reservoir,United States
1972,Indian Creek Dam,United States
1972,Cedar Bayou Generating Pond Levee,United States
1972,Melchor,Mexico
1972,Owasco Lake Outlet Dam,United States
1972,Stonecoal Creek Dam,United States
1972,East Fork Lake Dam,United States
1972,Ni River Dam 1,United States
1972,North Anna Dam,United States
1972,Kincaid Lake Dam,United States
1972,Cannon Creek Dam,United States
1972,Brogden Bridge,United States
1972,Fort Meade,United States
1972,Structure 193,United States
1972,Zaza,Cuba
1972,Northfield Mountain Main Dam,United States
1972,Sleepy Hollow Dam,United States
1972,Toa Vaca Dam,United States
1972,El Carrizal,Argentina
1972,Descoberto,Brazil
1972,Atibainha,Brazil
1972,Iguazu,Paraguay
1972,Acaray Iguazu,Paraguay
1972,Oeste,Brazil
1972,Passo Fundo,Brazil
1972,Mendobim,Brazil
1972,Mascarenhas,Brazil
1972,Sistema Vargem Flores,Brazil
1972,Thorisos,Iceland
1972,Llyn Brianne,United Kingdom
1972,Vilarinho das Furnas,Portugal
1972,Carrapatelo,Portugal
1972,El Atazar,Spain
1972,Odivelas,Portugal
1972,Puente Nuevo,Spain
1972,Monte da Rocha,Portugal
1972,Guadalteba,Spain
1972,Celemin,Spain
1972,Mansour Eddahbi,Morocco
1972,Youssf Ben Tachfine,Morocco
1972,Koubry 2,Burkina Faso
1972,Kossou,Ivory Coast
1972,Grundsjoarna,Sweden
1972,Dravladalsvatn Hoveddam,Norway
1972,Oysa,Norway
1972,Quitzdorf,Germany
1972,Obernhau,Germany
1972,Droda,Germany
1972,MauthausI,Germany
1972,Madine,France
1972,Postmuenster,Germany
1972,Ciurana,Spain
1972,Nicoletti,Italy
1972,Mejenin 4,Libya
1972,Suorvadammen,Sweden
1972,Sisovatn North Dam,Norway
1972,Fehervarcsurgoi,Hungary
1972,Iron Gate 1,Romania
1972,Poroy,Bulgaria
1972,Dushantzi,Bulgaria
1972,Omerli,Turkey
1972,Tiyabenzi,Zimbabwe
1972,Inyankuni,Zimbabwe
1972,Shashe,Botswana
1972,Sam Meyer,South Africa
1972,Ottergat,South Africa
1972,Serebrianka 2,Russia
1972,Hasanlar,Turkey
1972,Gokcekaya,Turkey
1972,Porsuk,Turkey
1972,Devegecidi,Turkey
1972,Kozan,Turkey
1972,Lesapi,Zimbabwe
1972,Buffelskloof,South Africa
1972,Doroodzan,Iran
1972,Mahi,India
1972,Ukai,India
1972,Mula,India
1972,Chhilar,India
1972,Salandi,India
1972,Hebbahalla,India
1972,Krasnoyarsk,Russia
1972,Heilongtan,China
1972,Nam Ngum,Laos
1972,Kiwlom,Thailand
